创新工作室名称,创新工作领域
杨全合创新工作室,水文地质、工程地质、环境地质
王成创新工作室,花丝镶嵌设计创新
刘哲创新工作室,环卫机械化设备
翟淑花创新工作室,地质灾害监测预警与防治
刁春仁创新工作室,盾构设备制造
陈立平创新工作室,农业智能装备
贾三满创新工作室,地面沉降
刘伟创新工作室,木本植物花期控制、反季节栽培
刘胜创新工作室,绿色储粮方法
王丽英创新工作室,腐乳酿造技艺
陶建伟创新工作室,电梯工程管理与信息智能化技术研发
何梅创新工作室,营养科学关键共性技术
任志刚创新工作室,常规器械单孔腹腔镜技术
杨伯钢创新工作室,城市地理信息与文化创意
肖鹏创新工作室,信息技术服务
姜利创新工作室,"
铁路AFC
设备与系统
"
王威创新工作室,软件测试技术与研究
孙德英创新工作室,技术创新
闵晶晶创新工作室,专业气象服务
刘刚创新工作室,创业教育创业服务
常宏创新工作室,钢结构技术创新
冯海涛创新工作室,信息技术、系统集成、软件开发
贾海平创新工作室,理化检测与表面处理工艺研究
赵丽霞创新工作室,农业机械研制与推广
王永光创新工作室,微创内镜技术
刘爱巧创新工作室,家禽营养与饲料
于志强创新工作室,飞机特种制冷设备技术研究
刘有才创新工作室,纺织服装
刘慧权创新工作室,城镇燃气输配
刘惠春创新工作室,印钞凹印设备与技术
任海波创新工作室,超高层建筑施工液压爬升综合技术
王茂春创新工作室,花卉新品种研究推广技术支撑
李奇庚创新工作室,运动营养食品开发与制造
刘泗磊创新工作室,汽车电气故障诊断与维修
高春梅创新工作室,火炬技术研发与推广
王彩梅创新工作室,人工髋关节系统研发
郑伟涛创新工作室,干细胞技术研发、干细胞相关技术服务，抗衰产品研发
谢欢创新工作室,电网稳定分析、网源协调
路鸿创新工作室,航天器机电产品研发
胡蕊创新工作室,法务管理法律风险防控的应用
王强创新工作室,半导体洁净机械手及集成设备研究与开发
王晓辉创新工作室,行业应用业务拓展
毛金浩创新工作室,污水处理设备研究与开发
易广生创新工作室,铁路机车检修技术
刘卫未创新工作室,绿色岩土与超深基坑环境变形控制
冯延明创新工作室,北京玉雕（燕京八绝艺术创作之一）
许奎雪创新工作室,骨科康复治疗医疗器械
李健创新工作室,新材料
李波创新工作室,新能源汽车
吴正宪创新工作室,教师专业发展
林智平创新工作室,啤酒酿造技术与工业微生物
陈美玲创新工作室,食品工艺及配料
崔翔创新工作室,电磁场科研和教学
叶祥忠创新工作室,诊断试剂和疫苗
李向欣创新工作室,呼吸内镜介入治疗
刘剑创新工作室,电力技术、节能、环保
郑仲明创新工作室,林业、果树
侯湛莹创新工作室,设计研发
王迎创新工作室,商业营销服务
黄建玲创新工作室,综合交通运行监测与服务
彭新明创新工作室,地质资源与地质工程
刘长清创新工作室,禽病预防和诊断技术研究与运用
张华龙创新工作室,焊接类新技术研究
蔡志勇创新工作室,建筑与土木工程
于海臣创新工作室,道路养护设计技术
郭柏创新工作室,仓储物流技术与设备研发
刘旎创新工作室,综合交通、管理养护技术研究与开发
王思野创新工作室,科学技术研究及教学传授
孙长军创新工作室,轨道交通建设安全风险管控技术
邢琳琳创新工作室,燃气输配关键技术
沈莹创新工作室,固体废物综合利用
赵军创新工作室,移动通信领域科技和管理创新
张晓卫创新工作室,教育教学
赵晓华创新工作室,隔膜压缩机
管伟创新工作室,高速公路电子收费发行与清分结算系统运维管理分析
于学斌创新工作室,花卉新品种引、选育及产业化开发
刘丙宇创新工作室,“市政基础设施、轨道交通、房屋建筑、地下工程”技术为主要研究方向
何历超创新工作室,高速公路建设
余文新创新工作室,医疗自动化设备及产线开发
江伟创新工作室,五轴数控机床研发和精密加工
李建学创新工作室,桥梁吊装及施工设备改进研发
魏金锋创新工作室,药物安全性评价与新药研发
张新宇创新工作室,风景园林与生态环境规划设计
乔会秀创新工作室,中医药健康养生管理服务
王刚创新工作室,抑郁症诊疗技术和药物研究与转化
马云新创新工作室,城市基础设施
李金龙创新工作室,轨道交通全弱电专业指挥系统
陈义洪创新工作室,新淮扬菜创新研发传播推广
倪鑫创新工作室,儿童肿瘤监测与防控
于艺林创新工作室,城市基础设施施工技术研究
孙国庆创新工作室,房建、投资、电力、机电、科研创新
王青海创新工作室,矿用装备研发
杜岩平创新工作室,高低压成套设备、新能源充电桩
郭庆创新工作室,商业银行产品与服务创新
杨勇平创新工作室,火力发电节能环保
陈兰颖创新工作室,服务
魏一鸣创新工作室,能源经济与气候政策
潘强创新工作室,尺寸工程
王曜创新工作室（原王辉）,汽车维修
罗祥远创新工作室,音视频节目制作
王学志创新工作室,果树技术
谢志华创新工作室,信息技术 软件
马栋创新工作室,隧道及地下工程关键施工技术研发及应用
柴淑颖创新工作室,变压器研发与制造工艺
赵红卫创新工作室,高速列车网络控制系统
路河创新工作室,农业产业服务拓展与创新
李改华创新工作室,建筑机械与安全技术应用
周荣飞创新工作室,建筑施工新技术应用、创新
周冠华创新工作室,临床医学
赵金水创新工作室,数据与信息应用领域
朱亚林创新工作室,输电线路运行维护
鲍宇清创新工作室,建筑节能
俞开昌创新工作室,新型水处理技术开发与推广
张建中创新工作室,足踝外科新技术应用
李静创新工作室,小儿肺炎临床研究
金合创新工作室,筋伤的手法治疗
孟宏创新工作室,皮肤本态特征研究及化妆品原料开发
田胜力创新工作室,预拌砂浆配方及生产应用技术研究
宋艳双创新工作室,铁路工程桥梁建设
尚晓利创新工作室,铝合金制品数控车床加工
王开勇创新工作室,农林业植保与研究
周玉杰创新工作室,心血管病的精准化治疗
夏淑凯创新工作室,BIM技术在绿色施工和智慧建造中的应用
王苹创新工作室,思想政治理论课教学
焦俊娟创新工作室,超高层、大厂房施工测量
刘东创新工作室,重大装备国产化自主创新
吴青青创新工作室,妇产科超声远程诊断研究
黄岚创新工作室,固体废物资源化处置技术研究与开发
王明哲创新工作室,航天动力系统研发，动力技术产业化
刘艳创新工作室,职业安全健康
吕健龙创新工作室,生物工程技术
李晓琳创新工作室,数字媒体（平面设计/广告设计/全媒体运 营／品牌设计/影视后期/视效/MG动画）
柳浩创新工作室,道路及市政基础设施材料
丁德平创新工作室,云降水物理和人工影响天气
单伟创新工作室,汽车造型设计
杜峰创新工作室,分子菜
马九龙创新工作室,电声技术研究及电声产品制造
董佳节创新工作室,建筑工程
侯兴光创新工作室,柴油车维修服务及培训
王拥军创新工作室,神经科临床研究
孙海波创新工作室,白酒酒体研发
叶英创新工作室,地下工程建设预报、预警及养护加固
刘钰峰创新工作室,在铁路行车运输及安全生产经验推广方面
肖彤创新工作室,北京地铁车辆维修
于福新创新工作室,精细化工
谢永江创新工作室,铁路工程材料
韩安平创新工作室,铁路信号安全控制系统
钟久昌创新工作室,高血压病诊断治疗研究
刘跃创新工作室,通信管线技术研究与开发
张桂娟创新工作室,农业植保技术推广
李江创新工作室,环境设计教育改革与实践
孟增良创新工作室,航电产品新技术新工艺研究与应用
石大营创新工作室,石油化工设备检维修、管道带压堵漏
贾光智创新工作室,"铁路战略咨询
与情报研究"
徐康兴创新工作室,数字电视检测
谢汉生创新工作室,铁路节能科研
郑佳创新工作室,可再生能源的科技研发等
陈斌创新工作室,激光再制造研究与开发
杜艳红创新工作室,酒类产品研发及工艺创新
赵留庄创新工作室,脑血管疾病治疗技术
王长民创新工作室,林业有害生物防控技术推广与研究
张恩良创新工作室,高端装备制造
车少臣创新工作室,园林植物病虫害生态调控
宋亚勋创新工作室,传承民族传统石雕技艺
梅晓丽创新工作室,建筑施工技术研究与应用
王义春创新工作室,废弃物处理技术研究与开发
王泽强创新工作室,预应力空间钢结构设计与施工
易楠创新工作室,模具数字建模创新设计与智能制造
陈蕾创新工作室,建筑施工技术
车南颖创新工作室,结核病分子病理诊断新技术
邓露芳创新工作室,饲料产品研发与检测
杨朋创新工作室,电子信息-数字科技
熊松涛创新工作室,金银珐琅艺术品的研发
王宇创新工作室,量子科技及计量测试技术的发展
刘驷达创新工作室,工程技术创新与降本增效
唐昕迎创新工作室,现代科技在施工中的转化与创新
郝建兵创新工作室,建筑工程大型医院建筑建设
娄颖创新工作室,光电研发工程化及工艺创新
徐洪海创新工作室,覆盖件模具调试及线下的维修
叶依谦创新工作室,建筑设计及建筑设计理论研究
杜栩名创新工作室,通督调利平透针法与回天宣教
罗其花创新工作室,优质种王选育及产业化开发创新
罗善国创新工作室,粘合剂等专用化学品生产制造
岳增柱创新工作室,新能源（氢能）设备研发及应用
李静创新工作室,药品研发
杨春鹏创新工作室,纺织服装研究与开发
何付兵创新工作室,活动断裂调查与监测
刘汝超创新工作室,建筑绿色智慧施工
钟连盛创新工作室,传统工艺美术景泰蓝技艺
刘凤娟创新工作室,发电机绝缘技术和线圈制造
"汤洁创新工作室
（原宫锡余）",生物与新医药技术
张毅创新工作室,创新人才培养
吴清玉创新工作室,内、外科联合攻关危重心脏病
孙志强创新工作室,建筑材料
刘刚创新工作室,创新理念、安全生产、技术技能、优质服务、节能降耗、增收创效
王宏卫创新工作室,食品安全、疫病防控
李春启创新工作室,技术创新
唐亚平创新工作室,技术创新
王秀兰创新工作室,张一元茉莉花茶制作技艺传承与创新
姜全创新工作室,桃产业技术研究
王勇创新工作室,节水灌溉技术创新与推广
李宁创新工作室,烟草物流技术应用
张兆龙创新工作室,汽车电子与智能化应用
李海燕创新工作室,铁路工程材料与工艺
李庆鹏创新工作室,食用油绿色储藏
王志伟创新工作室,"生产现场改善
技术工人培养"
姚攀创新工作室,解决生产瓶颈问题
苏中帅创新工作室,建筑工程测量
邵鹏创新工作室,食品、环境检验检测服务
刘红旭创新工作室,中西医结合心血管专业
陈晓萌创新工作室,热工自动化及两化融合
刘昊扬创新工作室,可穿戴传感器技术
范晓岩创新工作室,计算机科学与技术
杨金锋创新工作室,基于BIM的施工安全技术研究
王清涛创新工作室,检验医学标准化与实验室质量管理
黃红艳创新工作室,肿瘤免疫治疗及转化研究
钟连全创新工作室,农业新技术研究与应用
郭谦创新工作室,Ⅲ类骨科植入物高端医疗器械
苏中创新工作室,高动态导航制导与控制技术
李永刚创新工作室,电厂安全经济运行、科技与环保
刘兵创新工作室,电力系统变电站运维技术研究
李北超创新工作室,施工技术测绘与BIM综合应用研究
贾云海创新工作室,超硬刀具高效绿色加工装备与技术
郭树彬创新工作室,心肺脑复苏、重症感染、创伤
杜美红创新工作室,食品安全检测、生物医药检测技术推广、应用
踪家双创新工作室,智慧金融体系研发
刘奉良创新工作室,公路工程桥梁建设
杨红芬创新工作室,危废处理技术研究与开发应用
韩玉龙创新工作室,房建施工技术及安全体系研究
王文旺创新工作室,传统手工木作与修复技艺
李金元创新工作室,建筑施工技术
周予启创新工作室,超高层施工及建筑工业化领域
刘佳创新工作室,青少年近视发展防控领域
许泽玮创新工作室,科技服务平台，云计算、大数据研究
张海波创新工作室,心脏瓣膜病微创介入手术
郑海亮创新工作室,糖尿病足及其他足病的矫形与康复
隋国辉创新工作室,机场鸟害防治
刘金景创新工作室,建筑功能材料、绿色建材应用
彭芸创新工作室,医疗
苏磊创新工作室,建筑工程
李子孝创新工作室,脑血管病医疗质量改进
张澍田创新工作室,消化系统早癌的预防和诊治
饶建平创新工作室,企业质量研发、设备改造、工艺改进、技术进步
刘丽创新工作室,汽车研发体系
纪红创新工作室,移动通信与宽带互联网
刘业兴创新工作室,交通及安防领域
任晨阳陈征创新工作室,宣传与研发
任明创新工作室,节地、节水、节能减排、节材、环保等新技术、新设备、新工艺
王建民创新工作室,文化演出
陈鹏创新工作室,技术创新
张胜生创新工作室,信息安全应急演练关键技术
吴进东创新工作室,公交车维修技术研究与开发
韩维池创新工作室,新型智能幕墙研发
肖俊恒创新工作室,铁路轨道结构
陈超创新工作室（ 原张永慷）,通信网络维护建设创新研究
史向前创新工作室,客服热线服务水平提升
都宇创新工作室,销售服务、技术培训、研发创新项目
解海立创新工作室,排水工程技术
徐震创新工作室,"电力系统的安全
运行与维护
"
侯本才创新工作室,BIM技术应用
李锁定创新工作室,膜材料、设备制造及应用开发
赵耕创新工作室,汽车装配技术革新
罗勇创新工作室,地面沉降、地裂缝灾害防治
张俊敏创新工作室,铁路器材及配套设施的研究与开发
齐庆祝创新工作室,汽车数字化虚拟制造技术研究与应用
宋得志创新工作室,玻璃自动机成型
马国恒创新工作室,液晶模组背光源设计与制造
蔡凯创新工作室,移动网络优化暨用户感知提升
吴昭呈创新工作室,新型显示集成电路设计领域
张烈创新工作室,封闭母线技术研发
张国维创新工作室,两汉时期篆刻创作研究
陈林云创新工作室,功能性针织产品的技术创新
王冬创新工作室,义利北冰洋食品技术研发
王建斌创新工作室,转炉炼钢
王宪波创新工作室,中西医结合传染病
李志光创新工作室,装配式预制构件设计、生产工艺
黎先浩创新工作室,取向硅钢产品研发及应用
魏童创新工作室,遗体火化技术研究及生命文化传播
冯英超创新工作室,先进焊接技术及智能焊接装备
刘宁创新工作室,日化类产品生产与推广
党金忠创新工作室,建筑工程施工技术创新
隋振超创新工作室,半导体集成电路智能制造
鲁思文创新工作室,营销信息服务技术研究与发展
叶桂香创新工作室,环保型软包装无溶剂胶粘剂
白锦荣创新工作室,资源植物种质创新与应用
赵洋创新工作室,高压电缆及通道运维检修
史春芳创新工作室,施工深化设计与设计管理
乔元辉创新工作室,智能建造
米鑫创新工作室,妇产科
吴剑坤创新工作室,中药药学服务
辛军霞创新工作室,地基基础检测与智能化监测
魏文斌创新工作室,近视精准防控
王林章创新工作室,生产安全
陈煜创新工作室,传染病-肝病
常洪霞创新工作室,交通运输
王玉强创新工作室,电力系统二次设备运行及控制研究
朱卫华创新工作室,预防用疫苗研发
创新工作室（原朱建军）,心理咨询与心理健康
何亮创新工作室,环保科研垃圾处理
肖永立创新工作室,电网检修
张占先创新工作室,医药卫生
赵军创新工作室,机电维修
王振军创新工作室,结直肠肛门外科
郑瑞峰创新工作室,动物疫病诊断和防控技术
张涛创新工作室,新能源
李晋宏创新工作室,生产智能软件
徐宏根创新工作室,软件工程及嵌入式软件开发
张卓欣创新工作室,铁路线路维修方法、手段等
牟昌华创新工作室,气体流量精确测量和控制
史秀梅创新工作室,有色金属新材料
杜首寨创新工作室,汽车维修
潘贵超创新工作室,中医骨伤医疗
徐利创新工作室,现代化养猪生产技术与管理
丛慧敏创新工作室,种牛繁育基地智能化管理
赵焰平创新工作室,药品新型制剂的研究与开发
刘艳创新工作室,银行服务
张春岩创新工作室,供热技术、节能减排
郑广顺创新工作室,信息系统研发
曹玲创新工作室,儿童遗传病研究和临床诊断
张铁城创新工作室,皇家（宫廷）玉雕器皿
刘敏创新工作室,口腔保健口腔公共卫生
任均霭创新工作室,智能门锁、门五金、防火门
白小会创新工作室,电网规划设计
吴杰创新工作室,商业银行产品与服务创新
吕兴民创新工作室,清洁能源设备研发及应用
徐向东创新工作室,电力设备运检维护
修青永创新工作室,儿童康复专业特色服务
郭玉明创新工作室,转炉炼钢复吹攻关
王保勇创新工作室,镀锌产品表面质量提升及技术攻关
刘更生创新工作室,京作硬木家具制作技艺
许扬创新工作室,贵金属产品设计及技术研究
向守兵创新工作室,高端驱动控制与高效节能产品的研发
曹健荣创新工作室,体外诊断试剂及设备研发
武润泽创新工作室,测绘与自然资源空间数据技术
杨川创新工作室,水处理工艺和水质监测
冯丽利创新工作室,电力生产运行与服务工作
李秀惠创新工作室,中西医结合-新发突发传染病
杨思忠创新工作室,装配式建筑技术研发与管理
马著创新工作室,智能矿山建设
王洪艳创新工作室,信息产业可视化应用场景研发
金海望创新工作室,柔直技术研究与应用
姜钊创新工作室,时装技术方向
卫建平创新工作室,数控技术应用
喻建明创新工作室,聚氨酯应用研究
米杰创新工作室,儿童成人慢性病防治
杨波创新工作室,设备精细化检维修系统
马瑞创新工作室,公路、桥梁、隧道工程
刘石创新工作室,清洁能源
蔡艳旭创新工作室,技能创新、管理创新、品牌战略创新
王浩创新工作室,复合材料设计与制造
吕良海创新工作室,安全工程技术
李军创新工作室,城市轨道交通职业教育
张玉华创新工作室,钢轨探伤检测系统研发
李飏创新工作室,火力发电厂运行控制
孙志文创新工作室,畜禽产品质量安全监测
石荣创新工作室,先进技术施工方法
冯军创新工作室,机车安全控制
曲兆军创新工作室,新疆内高班学生教育教学研究
张鹊鸣创新工作室,城市公交服务与线路运营
乔林创新工作室,京津冀环境气象研究
刘利群创新工作室,再生水技术研究与开发
李奇创新工作室,智能制造和工业制造信息化
邵成猛创新工作室,"地下工程建设与研究
"
胡小宁创新工作室,维修和处理故障方法创新
张猛创新工作室,特高压及大限流成套技术
徐宝华创新工作室,建筑材料及混凝土
汪为健创新工作室,多功能生产线节能环保研发
曾晓芃创新工作室,媒介生物学和消毒
张树胜创新工作室,适老家具的设计与研发
傅欣彤创新工作室,中药质量控制及安全性研究
杨威创新工作室,房屋使用安全管理
方伯言创新工作室,帕金森病及神经变性病
李仲博创新工作室,智慧供热
高惠润创新工作室,建筑机电设计、绿色建造、节能检测技术创新及应用
谷晓芬创新工作室,妇女全生命周期保健服务
李国臣创新工作室,北京鸭育种
李栋芳创新工作室,高端专用装备生产制造及技术服务
孙风雨创新工作室,智慧社区安全服务与管理
陈辉创新工作室,光伏设备
刘淼创新工作室,建筑实施、建筑设计、建筑信息化
陈春光创新工作室,城市照明
陈万忠创新工作室,装卸船工艺创新及工属具开发
盖伟创新工作室,精准医疗
王猛创新工作室,汽车维修
张磊创新工作室,输电电缆运检
张忠国创新工作室,环境保护与资源节约综合利用
张恩龙创新工作室,构件预制
黄昌富创新工作室,隧道和地下工程
张津育创新工作室,医用止血材料
文乾刚创新工作室,雕漆技艺方面设计创新
刘可晶创新工作室,摄影、微电影
彭永臻创新工作室,污水处理与水污染控制工程
张迎新创新工作室,气象
曹希久创新工作室,养生产品工艺创新
谭希光创新工作室,是以润滑油、润滑脂、不冻液、制动液技术开发和应用研究为主，集研究开发、分析评定、技术信息调研和市场服务于一体;
徐志斌创新工作室,技术创新
杨才胜创新工作室,轨道信号
张国强创新工作室,北京鸭种质创新与健康养殖
林立创新工作室,技术创新
李彬创新工作室,配网自动化、调控、检修、营销等一线专业
"罗一鸣创新工作室
（原：王全红）",畜牧环境
温榕创新工作室,石油、煤炭、地质等行业的钻井（孔）轨迹测量仪器
见国繁创新工作室,技术创新
曲寒冰创新工作室,图像处理与模式识别技术
高淑英创新工作室,精神病合并结核科
刘建凯创新工作室,新型疫苗的研究、传统疫苗的升级改造以及新工艺新产品的研发
杨义海创新工作室,公共汽车维修保养工具、工艺研究
马小光创新工作室,数控加工
刁英智创新工作室,泌尿外科疾病的诊治
王坤创新工作室,冶金与材料
徐景新创新工作室,仪器仪表维护维修
顾大鹏创新工作室,交通BIM路桥项目管理信息化
朱敏创新工作室,印刷数字技术、自动化、智能化研究
朱俊明创新工作室,主动脉外科
文新理创新工作室,航空发动机、重型燃气轮机等领域高端金属材料研发
邱旭阳创新工作室,应急救援及高端智能装备 
淡默创新工作室,职业卫生检测与环境检测方法开发
薛正荣创新工作室,汽车试制技术的研究与创新
王建生创新工作室,出租汽车优质运营服务
杨金奎创新工作室,糖尿病及并发症发病机制研究
杨培创新工作室,污水处理技术研究与开发
刘继红创新工作室,新能源汽车研发与制造
孙丽君创新工作室,消除艾滋病梅毒乙肝母婴传播
赵志刚创新工作室,装配式混凝土构建智能化制造
范玉峰创新工作室,钢结构安装和BIM设计与应用
宫雨创新工作室,智能化、电动化、轻量化
海涌创新工作室,脊柱畸形诊疗
兰春光创新工作室,结构健康监测与特种结构技术咨询
任振余创新工作室,地铁各专业设备的自主维修、技改、工装制作和产品研发
王培创新工作室,特种车电液产品制造
刘俊华创新工作室,创新基层社会治理新模式
李东创新工作室,建筑行业清水混凝土施工工艺的技术开发与应用
杨晓东创新工作室,流体传动与控制-工程多路阀
郭志光创新工作室,智慧建造与施工的深度融合
徐克峰创新工作室,环保、节能
孙伙长创新工作室,耐火材料开发及施工方式
孙健峰创新工作室,高科技设备的研制、高值总成的深度维修和工艺流程再造等创新工作。
王宝刚创新工作室,环保软件开发、系统集成
高国强创新工作室,钢铁生产
王际东创新工作室,有色金属材料加工
王俊峰创新工作室,物联网无线电设备、无线频谱及测试
艾建龙创新工作室,汽车制造
郑子明创新工作室,粮油食品深加工
周晖创新工作室,法律服务
王涌天创新工作室,光学设计、新型显示、虚拟现实、增强现实
王长军创新工作室,绿色建筑技术研究
贾学祥创新工作室,城市轨道交通
高峡创新工作室,有机材料检测技术与质量评价
隗金枝创新工作室,班主任专业成长
叶荣科创新工作室,液压产品研发
李厚恩创新工作室,土壤与地下水监测、评估和防控
朱良玉创新工作室,安全防范设计评估研发
刘志东创新工作室,胸外科
曾炀创新工作室,军用和民用电阻器研发
高博文创新工作室,通信网络维护技术与创新技术研究
靳江波创新工作室,燃机运行维护管理
白剑锋创新工作室,公路、铁路施工技术研究
方秋子创新工作室,交通运营窗口服务提升
麻柱创新工作室,奶牛良种繁育
侯振芳创新工作室,汽车维修
丁瑞峰创新工作室,环保仪器仪表研究与开发
刘劲松创新工作室,加氢装置生产优化与长周期运行
陆宏志创新工作室,高超飞行器的气动力热研究
赵斌创新工作室,汽车发动机装调测试与返修
赵振宁创新工作室,电站锅炉安全环保和节能技术
钟志莉创新工作室,安全生产教育培训
侯本祥创新工作室,医疗卫生
刘哲伟创新工作室,组合式大尺寸硅片承载器研制
李威创新工作室,环境可靠性技术服务与技术推广
闫成文创新工作室,高端智能机械研究制造
朱忠义创新工作室,大跨度结构、复杂结构减隔震设计与研发
雷晓东创新工作室,服务类-环境保护与资源节约综合利用
王勇创新工作室,客车检修及检修装备自动化研究
李龙创新工作室,小儿先天畸形微创手术
庞瑞峰创新工作室,增材制造技术应用与装备
安冬洋创新工作室,无取向电工钢产品研发与应用
刘雄创新工作室,商用汽车发动机研发制造
张弥创新工作室,工业自动化与智能制造
黄玉虎创新工作室,城市扬尘监测与污染防治研究
滕秀香创新工作室,中医治疗卵巢功能减退性疾病
牛京刚创新工作室,中餐专业
江涛创新工作室,脑胶质瘤精准诊疗
宋雄英创新工作室,骨关节疾病诊断、治疗及康复
张莉莉创新工作室,城市更新创新研究
马福建创新工作室,建筑、城市基础设施及房地产
石立国创新工作室,精益建造、高效建造、智慧建造
净晓星创新工作室,钢铁企业水处理技术研究与开发
李新旭创新工作室,农业实用技术集成创新和示范推广
秦涛创新工作室,工矿备件制作冷加工
张文新创新工作室,电力建设
郭顺祥创新工作室,建筑业
谭铁仁创新工作室,地铁安全运营
徐丽娜创新工作室,投递操作技能创新
黄兴良创新工作室,高性能纤维
高洋创新工作室,信息与管理
吴桂琴创新工作室,蛋鸡育种技术研究与开发
张丽霞创新工作室,农用微生物制剂研究与开发
周增产创新工作室,现代农业智能温室设施与装备研发推广
牛东晓创新工作室,电力能源预测与评价
申广创新工作室,石油化工产品储运及罐车清洗
陈志创新工作室,急救医疗培训研究
陈牧云创新工作室,电力营销与客户服务
刘宏创新工作室,防伪印刷防伪技术研究
熊演峰创新工作室,技术创新
赵林清创新工作室,儿童病毒感染病原及诊断技术研究
林健创新工作室,地下水环境监测与保护
冯硕创新工作室,新能源汽车电子电器
李兵创新工作室,汽车制造
王小东创新工作室,无人机生产研发应用
吕瀛创新工作室,燃气行业专业技术培训教育
高凯创新工作室,普通高中教育
张海松创新工作室,装配式产业化施工与创新
张进红创新工作室,350米超高层建筑总包管理
王文柱创新工作室,警保联勤联动指挥调度管理服务
吴潇创新工作室,大数据驱动的海量用户运营
张翔创新工作室,ETC电子收费系统技术研究
高俊斌创新工作室,海绵城市技术研发及成果转化
李宏军创新工作室,医学影像学
徐锐创新工作室,云计算与大数据融合创新孵化
赵国旗创新工作室,石油产品分析测试技术
刘文虎创新工作室,内科学（肾病）
刘魁刚创新工作室,轨道交通环保与安全技术研究
王亮创新工作室,工程技术技能培训
张大兵创新工作室,科技研发与创新产品推广
常显永创新工作室,园林绿化养护技术
齐长红创新工作室,草莓关键技术示范与推广
张亚利创新工作室,农业技术研发和推广服务
何茂栋创新工作室,集成电路领域高端装备研究与开发
高孟秋创新工作室,耐药结核病精准治疗
张建松创新工作室,成品油调和
常海龙创新工作室,建筑、规划、城市与社区更新
李明洋创新工作室,数控精密加工
王曌创新工作室,眼科医疗器械
何银萍创新工作室,智能罐疗仪的研发及在通络开结上的应用
袁学文创新工作室,园林绿化
"袁继祥创新工作室
",建筑施工技术工艺创新
冯超创新工作室,工艺美术
马长生创新工作室,医疗
曹树田创新工作室,生产工艺创新
张立玲创新工作室,汽车结构耐久及轻量化
周新堂创新工作室,环保节能领域技术研发及新技术推广应用
纪淀平创新工作室,燃气管道调压、运行及维护
徐建成创新工作室,机电设备
刘文旺创新工作室,球团带式焙烧机技术研究
霍燚创新工作室,天坛礼乐文化的研究、传承与展示
闫思玲创新工作室,地铁供电系统
辜小安创新工作室,环境保护技术研究开发与技术服务
彭洪均创新工作室,建筑涂料、防火涂料、地坪漆
杨华清创新工作室,骨关节、脊柱疾病的矫形、康复治疗
曾凡明创新工作室,油库创新项目研究与开发
彭飞创新工作室,妇幼保健健康教育
李松岷创新工作室,装配式剪力墙结构技术研究
苗建印创新工作室,空间两相传热技术
于飞创新工作室,制导控制领域工程化设计
刘奎生创新工作室,大型地下水厂科技创新研究
李洁创新工作室,电气传动及自动化控制
周卫国创新工作室,半导体晶圆搬运设备研究开发
刘树青创新工作室,城市智能交通控制
孙灿创新工作室,汽车电子研究与开发
秦思创新工作室,国礼研发及工艺美术创新研究
施海东创新工作室,家具设计自主研发，产品方向定位
徐福田创新工作室,地铁施工技术及施工管理
丁焕平创新工作室,中学物理教育教学研究
康志鹏创新工作室,炼铁原料处理工艺
孙凤龙创新工作室,膝关节炎微创保膝治疗及微创脊柱内镜治疗颈肩腰腿痛、椎管狭窄、椎间盘突出、腰椎滑脱等
张杰创新工作室,冲压技术攻关与研究
