附件7,,,,,,,,,
北京市延庆区卫生健康委员会2022年区跨部门双随机市场监管领域随机抽查结果,,,,,,,,,
序号,抽查计划名称,检查任务名称,检查对象名称,检查内容,检查部门,检查日期,检查结果,,
11,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京壹墨农家院餐厅,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-22,发现问题已责令改正,,
12,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京市延庆区康西野鸭湖游乐园分部,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-22,发现问题已责令改正,,
13,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京福润自游自在民宿有限公司,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-21,未发现问题,,
14,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京乐悦花园餐厅,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-21,未发现问题,,
15,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京八达岭军都山酒店,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-20,发现问题已责令改正,,
16,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京红石新城房地产有限公司酒店分公司,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-20,未发现问题,,
17,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,里炮果园小镇乡村休闲旅游（北京）有限公司,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-20,未发现问题,,
18,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京玉鼎山庄渡假村有限公司,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-20,未发现问题,,
19,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京岔道府酒店管理有限公司,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-20,发现问题作出行政处罚决定,,
20,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京曾府酒店管理有限公司,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-15,未发现问题,,
21,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京延庆燕春饭店有限公司,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-15,未发现问题,,
22,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京栖身憩息农家院餐厅,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-15,未发现问题,,
23,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京金隅八达岭温泉度假村有限责任公司,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-15,未发现问题,,
24,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京世园资产运营管理有限责任公司至臻酒店,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-15,未发现问题,,
25,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京九龙旅店,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-15,未发现问题,,
26,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京兴运楗美酒店,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-14,未发现问题,,
27,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京东奥之旅酒店管理有限公司,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-14,未发现问题,,
28,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京八达岭酒店投资管理有限公司国际酒店分公司,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-14,未发现问题,,
29,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京妫川宾馆,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-14,通过登记的住所（经营场所）无法联系,,
30,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京奥亚天泓酒店管理有限公司,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-14,未发现问题,,
31,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京荣国餐饮有限公司,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-14,发现问题已责令改正,,
32,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,中交富力和美（北京）置业有限公司源宿酒店分公司,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-14,未发现问题,,
33,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京市中银酒店有限公司,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-14,未发现问题,,
34,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年宾馆、旅店监督抽查,北京中润汇兴酒店管理有限公司,公共场所,"北京市延庆区市场监督管理局,延庆区公安局,延庆区卫生健康委,延庆区文化和旅游局,延庆区消防救援支队",2022-09-14,通过登记的住所（经营场所）无法联系,,
35,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年影剧院、文化娱乐场所等经营卫生情况抽查,北京万达国际电影城有限公司延庆店,公共场所,北京市延庆区市场监督管理局，延庆区文化和旅游局，延庆区卫生健康委，延庆区公安局,2022-10-25,未发现问题,,
36,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年影剧院、文化娱乐场所等经营卫生情况抽查,北京月光宝盒文化传媒有限公司,公共场所,北京市延庆区市场监督管理局，延庆区文化和旅游局，延庆区卫生健康委，延庆区公安局,2022-10-25,通过登记的住所（经营场所）无法联系,,
37,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年影剧院、文化娱乐场所等经营卫生情况抽查,北京星光之都娱乐有限公司,公共场所,北京市延庆区市场监督管理局，延庆区文化和旅游局，延庆区卫生健康委，延庆区公安局,2022-10-25,通过登记的住所（经营场所）无法联系,,
38,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年影剧院、文化娱乐场所等经营卫生情况抽查,北京大玩家酷乐旋风娱乐发展有限责任公司,公共场所,北京市延庆区市场监督管理局，延庆区文化和旅游局，延庆区卫生健康委，延庆区公安局,2022-10-25,未发现问题,,
39,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年影剧院、文化娱乐场所等经营卫生情况抽查,北京辉煌益境房地产开发有限公司辉煌松山度假酒店,公共场所,北京市延庆区市场监督管理局，延庆区文化和旅游局，延庆区卫生健康委，延庆区公安局,2022-10-25,通过登记的住所（经营场所）无法联系,,
40,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年影剧院、文化娱乐场所等经营卫生情况抽查,三弦文旅（北京）科技有限公司延庆分公司,公共场所,北京市延庆区市场监督管理局，延庆区文化和旅游局，延庆区卫生健康委，延庆区公安局,2022-10-25,通过登记的住所（经营场所）无法联系,,
41,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年影剧院、文化娱乐场所等经营卫生情况抽查,广东大地影院建设有限公司北京延庆电影放映分公司,公共场所,北京市延庆区市场监督管理局，延庆区文化和旅游局，延庆区卫生健康委，延庆区公安局,2022-10-25,未发现问题,,
42,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年影剧院、文化娱乐场所等经营卫生情况抽查,北京延炎文化传媒有限公司,公共场所,北京市延庆区市场监督管理局，延庆区文化和旅游局，延庆区卫生健康委，延庆区公安局,2022-10-25,未发现问题,,
43,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年影剧院、文化娱乐场所等经营卫生情况抽查,北京市中银酒店有限公司歌舞厅,公共场所,北京市延庆区市场监督管理局，延庆区文化和旅游局，延庆区卫生健康委，延庆区公安局,2022-10-25,通过登记的住所（经营场所）无法联系,,
44,北京市延庆区2022年度部门联合双随机 抽查工作计划,延庆区2022年影剧院、文化娱乐场所等经营卫生情况抽查,北京金麦时代娱乐有限公司,公共场所,北京市延庆区市场监督管理局，延庆区文化和旅游局，延庆区卫生健康委，延庆区公安局,2022-10-18,通过登记的住所（经营场所）无法联系,,
