技术领域,序号,技术产品名称,主要技术特点及应用效果,申报单位,行业专家主要推荐理由
,11,一种煤气化渣资源化综合利用技术,该技术采用等离子体辅助熔融方法，实现湿基煤气化渣全量化综合利用，生产的岩棉及相关产品，经检测性能优异，优于传统岩棉生产工艺产品，是大规模、高附加值综合利用煤气化渣的现实途径，已经实现工业化应用。该技术以复杂难用的气化渣为原材料生产岩棉及相关产品，不仅处置了固废，而且不需要开采玄武岩等天然矿石，能耗仅为传统岩棉生产工艺的70%，二氧化碳减排30%。,北京科立科盈科技有限公司,自主研发了煤气化渣等离子高温熔融工艺及装备，生产符合国家相关标准的岩棉，与同类技术相比具有能耗低、资源化彻底的特点。
,12,一种生活垃圾焚烧飞灰胶结充填资源化利用技术,该技术将生活垃圾焚烧飞灰与钢铁冶金、燃煤电厂的多种工业固废通过机械力化学活化及成分复配制成矿山充填采矿亟需的低碳、低成本胶凝材料。矿山企业利用该胶凝材料取代传统水泥制备充填料，充填料通过管道输送到地下采空区，并在地下采空区凝结硬化。飞灰中的有害组分被稳定化固化在充填硬化体中，永久储存在地下采空区，远离人居环境。充填硬化体有害物质溶出达到《GB5749生活饮用水卫生标准》要求，具备环境安全性；同时，该胶凝材料的碳排放比普通硅酸盐水泥降低90%以上，生产能耗仅为水泥的1/4，节能减排效益显著。,北科蕴宏环保科技（北京）有限公司,将垃圾焚烧飞灰与矿渣等固废进行粉磨复配，制备成矿山胶结充填凝胶材料，实现垃圾焚烧飞灰规模化综合利用。
固废减量化及资源化,13,一种工业废盐高效资源化利用技术,该技术采用“热解炭化+溶解过滤+分步结晶”工艺，利用上下多段式无氧热解炉热解、溶解过滤、蒸发结晶等技术对工业废盐进行有机污染物脱除及混合无机盐分盐处理，最终产出无水硫酸钠、氯化钠工业盐产品，盐回收率达90%以上。在解决关于危废处置环保难题的同时，实现工业废盐的高效资源化利用，同时生产过程中产生的烟气达标排放，废水近零排放。,北京航天环境工程有限公司,针对工业混合废盐，研发了集炭化热解系统、含炭盐渣溶解过滤系统和蒸发分盐系统的成套装备，具有有机物脱除效率高、结晶盐品质高的特点。
,14,一种油漆渣源头热解处置技术,该技术创新性地对接生产企业原有涂装工序，将涂装车间产生的漆渣经过输送、物理干化、中温热解（450-650℃）、冷却、输送等工序转为热解渣送入缓存仓，并将热解过程产生的热解气经850-1000℃高温焚烧后给热解过程供热，降低能耗，尾气经处理后达标排放。系统高度自动化，可实现远程监视和控制。热解渣符合普通固废标准，重量为含水50%左右原漆渣的10-15%，减量化显著，含碳量约10-30%，降低了碳排放。该技术实现了油漆渣处置的无害化、减量化、部分资源化、源头化、低碳化和自动化，为企业绿色生产提供了技术支持。,北京星和众工设备技术股份有限公司,本技术采用热解及焚烧等设备对废漆渣进行无害化处理，具有减量化明显、自动化程度高等特点，能够有效减少危废转运、处理成本，具有较大推广价值。
,15,一种黑水虻生物转化技术,本技术利用黑水虻食腐性等生物学、生态学特点，将厨余垃圾、禽畜粪便、绿植废弃物等高效转化为优质蛋白与土壤改良剂，蛋白可用于养殖，土壤改良剂可用至绿化、土壤修复。垃圾资源化率、无害化率100%，综合减重50%。技术包含称重、预处理、就地转化、筛分、除臭、孵化和储存。采用Bio-BP控制+多轴机器人处理模式。利用可拓展的集装箱式设计，标准化和模块化特性可实现处理量调整，适用于各类项目场景。全程负压密闭，无气固渣二次污染，消除邻避效应。分布处理可实现社区厨余垃圾零外运百分百就地资源化处理，减少运输导致的大量温室气体排放。,北京市昊业怡生科技有限公司,本技术使用黑水虻生物处理工艺，具有自动化水平高、占地面积小、产品附加值高等特点，设备运行安全、稳定，可有效化解邻避效应。
塑料污染防治,1,一种苛刻使用条件下塑料材料长寿化技术,塑料材料在制备与成型过程中均需产生很高的碳足迹，特别是对于使用在苛刻环境下的塑料，其延长寿命或提升其循环再生价值尤其技术难度较大、社会与经济效应显著。该技术提供一种用于苛刻环境下，延长塑料使用寿命的添加剂及其绿色制备技术。该类添加剂可以为用于苛刻环境使用的塑料、涂料、粘合剂等提供极佳保护，显著延长其使用寿命5-10倍，提升回收再利用价值，兼之生产技术水平高、工艺流程先进，从而可大幅降低碳排放、降低资源消耗及污染物排放。,北京天罡助剂有限责任公司,该防老化助剂生产及配方应用技术能有效延长塑料制品的使用寿命、性能稳定性更强，环境泄漏风险降低。
,2,一种可循环降解的电子配件包装箱加工技术,循环运营平台与RFID等智能技术，确保产品循使用、效率和生命周期管理；包装箱体采用化学性能稳定、环保安全的轻质材料，可以循环使用120次以上；内衬结构缓冲棉采用发泡可降解新材料，大幅减少环境污染；布套、防盗等结构能起到全面的防护作用，防水、防尘、防护力强。与一次性包装相比，CO2排放量可减少约60%，产生的固体废物减少约86%，能源消耗减少约64%，水消耗减少约80%。,北京丰德兰志包装技术有限公司,自主研发了可循环外包装、可降解衬垫，并通过智能全流程监控，实现包装的可控循环使用。
土壤污染治理,1,一种污染土壤淋洗修复技术,该技术采用物理分离或增效洗脱等手段，通过添加水或合适的增效剂，将污染土壤按粒径进行分级，使污染物从土壤相转移到液相或细颗粒中，有效地减少需要后续修复的污染土壤量，减量化率可达60～80%。淋洗后的清洁粗颗粒可直接进行资源化利用。该技术用水经自带水处理模块处理后进行回用，循环利用率高达90%。通过污染土壤的减量化及资源化，可节省电、燃料类能源超过85%，碳排放量降低约75%，大幅降低污染土壤修复成本、缩短修复工期，加速地块再开发利用进度。,北京建工环境修复股份有限公司,选用不同淋洗剂将土壤中的污染物洗出，实现污染物向细颗粒物质的富集。产生的废水经处理后可循环利用，达标固体物质可再利用或处置。
土壤污染治理,2,一种蚯蚓处理废弃物修复土壤的环保型生态改良技术,该技术使用自制特殊装置，利用资源化处理的固体有机废弃物进行蚯蚓养殖并回收，再利用专利技术通过分离、层析、发酵等方法从蚯蚓体内提取生物多肽，研制成具有重构土壤菌群结构功能的氨基酸水溶肥，从根本上改良土壤。该技术应用研制的蚯蚓肽能够增加土壤生物多样性，稳定土壤微生物群落的核心菌群，提高土壤自身造肥能力。实验测试能有效减少化肥使用量10%以上，提高水稻产量5%以上等。同时，通过固体有机废弃物资源化利用减少环境污染，实现生态循环。,北京艾克赛德生物工程有限公司,自主研发装置和基料配方，利用蚯蚓处理餐厨、枝叶、宠物粪便等有机废弃物，生产蛋白饲料原料和土壤调理剂，实现高附加值利用。
,3,一种基于新型阻隔材料及技术体系的土壤污染防治技术,该技术采用矿渣粉等工业废料替代传统的水泥等高耗能材料，建立了针对不同污染物特性和环境需求的材料模型计算方法和组方体系，形成了一种基于钠基膨润土的新型阻隔材料配方，有效降低了石灰石、粘土等不可再生资源消耗，解决了传统阻隔材料使用寿命低、性能差的问题；与传统的水泥等刚性材料会形成障碍相比，新型材料作为一种柔性材料不影响污染地块后续开发。依托单位20余项设备和工法专利技术，该技术总体成本降低50%以上，固废循环利用加之施工更小的环境扰动和资源消耗，绿色低碳和环境友好效果显著，具备较好的经济和推广价值。,北京中岩大地科技股份有限公司,利用高炉渣等工业废料，辅以分散剂制备了新型阻隔材料，并优化设备和工法，实现传统高能耗材料使用量减少、功效提升和成本降低。
,4,一种石油烃及苯系物污染场地原位复合修复技术,"本技术针对存在LNAPL相、污染严重的复杂石油烃及苯系物污染场地，通过自主创新与技术集成,研发了原位气相抽提、化学氧化、多相抽提和原位淋洗驱油联合应用的成套技术及装备,实现了土壤、地下水的同时修复。淋洗驱油技术与多相抽提技术的结合,使出油率提高了60%，缩短了修复时间；“化学氧化+抽-注微循环”技术大幅度增大了地下水水力梯度，增加了氧化剂有效影响半径,加速氧化剂分散,提高氧化效率；真空解析法去除苯系物效率在80%以上，大幅降低了化学氧化剂使用量，解决了氧化剂过量带来的次生污染问题。",北京金隅红树林环保技术有限公司,自主研发了集成多种有机污染物处理工艺的成套设备，可实现复杂污染场地水土共治，修复效率提高。
防止食品浪费,1,一种识别餐盘食物浪费情况的人工智能算法,该方法利用残差结构以及分离卷积模型设计出一种新的卷积神经网络基本结构即残差分离卷积块，然后利用残差分离卷积块分别设计餐盘检测网络、食物检测网络的骨干，并与其他卷积神经网络做充分对比，从而实现识别餐盘内食物浪费情况。该方法的识别正确率达83%，训练集合误差小于5%。同时支持在复杂场景或网络波动等多种因素影响下可正常使用的故障率低于2%。该方法应用于光盘打卡手机应用，累计打卡8000余万次，为减少食物浪费做出了贡献。,北京新素代科技有限公司,充分发挥人工智能和大数据的优势，能够实现光盘的自动化识别，与数字化院校相融合，对推进绿色校园建设有较高的参考价值。
,2,一种绿色营养健康食堂体系建设技术,该技术依托《健康食堂建设管理规范》（T/CNSS 012-2021），开发“基于营养健康理念的餐饮行业智能管理系统”，包含厨师配餐系统、物料储藏/管理系统、餐厅/食堂运营管理系统等模块。通过整合食材数据库、餐厅菜品数据库、营养素需求数据库和健康指导与行为数据库，对健康食堂的客户管理平台实现智能化、健康化、人性化的全方位管理。 通过分级管理，实现对消费者的膳食推荐、运动建议、健康评分等多模块的个性化健康管理建议。可有效减少食物浪费30%以上，减少废弃物、生态环境造成的破坏，同时促进营养健康，减少慢病引发的经济社会负担。,中粮营养健康研究院有限公司,基于标准和营养配餐，建设绿色食堂体系，引领健康饮食，减少食物浪费，在单位食堂、社区等相对固定群体餐饮服务场所等方面具有较高推广价值。
,3,一种“光盘”智能识别技术,基于大数据技术，采用深度学习方法对餐盘残羹剩余量进行自动识别，通过积分反馈给用餐人员，可实现人员落实光盘行为确认，提升管理效率，促进节俭行为习惯养成。该技术识别率超过92%，识别速度小于1s，适用于在政府机关食堂、企事业单位食堂、大中小学食堂等场所推广应用，可有效促进“光盘”行动，减少资源浪费和碳排放。,首都师范大学北京博纳德科技有限公司,秉承科技赋能工业理念，采用人工智能识别食物浪费技术，带动餐厨垃圾源头减量，从用户日常用餐行为，深入培养节约理念，可在高校、餐厅、机关、企事业单位实现推广。
