ID,适用范围,主要技术特点及应用效果,技术产品名称,修改时间,EXCHANGETIME
-1920991232,集中供热系统和供水系统。,智能无线温压传感器（NB-IoT）实现传统供热系统难以监测场所的数据采集，覆盖采暖系统信息化盲点，为实现集中供热系统的高效节能和城市供热的精细化管理提供数据支撑。,无线温压传感器,1/1/2020 00:00:00,3/6/2024 21:02:42
-1908408320,LED灯具智能控制，尤其适用于既有建筑的智能化照明改造,"1、免布线。系统结构简单，无需复杂的控制线路，新建、改造建筑均能快速运用。
2、易改造。既有公共建筑能通过简单的开关和光源一对一替换实现照明智能化。
3、节能率高。通过LED光源节能和智能化控制管理二次节能，综合节能率70%，能耗高的车库等项目，节能率超80%。
4、智能化。搭建智能管理平台，让照明管理从传统的人工控制升级为智能的系统控制。
5、高性价比。造价只有同行智能照明系统的1/3—1/5，普通公共建筑也能轻松实现智能化。",基于电力载波技术的物联网室内照明系统,1/1/2020 00:00:00,3/6/2024 21:02:42
-1874853888,适用于大型体育场馆、交通枢纽、市政道路、大型工矿等领域照明。,技术特征∶1.等离子体作用构建具有超亲水极性基团的微纳尺度槽群结构热沉;2.无功耗被动式的相变液体工质微纳超亲水表面润湿流动与微纳槽群结构热沉毛细压力梯度作用微槽轴向与切向流动的耦合强化3.发生多物理场耦合微纳尺度液膜临界沸腾强化传热过程;4.理论取热热流密度达10的9次方W/m2数量级。技术优势∶1.超高强度取热能力2.均温性能出色3.离散热源集中热处理模式4.超远距热输运和超强散热能力5.无功耗取热、高效节能节材 6.安全性与可靠性高7.小体积轻量化8.加工成本低,大功率LED灯的微纳槽群散热技术,1/1/2020 00:00:00,3/6/2024 21:02:42
-1858076672,适用于公共建筑照明。,无,集成式面板灯,1/1/2020 00:00:00,3/6/2024 21:02:42
-1811939328,供热换热系统。,"免清洗 免维护 智能水处理
无人值守 全程预置系统控制，支持多种通讯方式
采用智能电控设备按节能方式运行实现管控一体化
承压能力强 ≤4.0Mpa
耐温能力强≤500℃应用领域范围广
全系列二十一种专业解决方案
支持室内、室外多种复杂极端工况
快捷选型 安装方便 通用性强 
运行可靠 占地面积小 
设备互换性强 整体拓展性强
完善的保温措施，保证电气元件可正常工作",基于全焊接高效板壳式换热器的模块式智能换热站,1/1/2020 00:00:00,3/6/2024 21:02:42
-1786773504,适用于农宅、低层住宅的建造或改造。,双保温+双隔热节能外墙体系具有非常大的性能参数调节范围，可以根据建筑所处地域的实际环境情况，满足建筑的防火、隔声、保温、隔热、防潮、通风的标准和要求，施工周期短、干法作业、污染程度低，材料回收利用率高,双保温+双隔热建筑体系节能技术,1/1/2020 00:00:00,3/6/2024 21:02:42
-1719664640,适用于蒸汽锅炉系统,无,锅炉烟气余热深度回收利用及消白系统,1/1/2020 00:00:00,3/6/2024 21:02:42
-1698693120,适用于公路及景观照明.,无,DL型LED路灯,1/1/2020 00:00:00,3/6/2024 21:02:42
-1686110208,教室照明,1、防合CQC国家强制认证 3C安全要求 2、已经通过CQC中国节能产品认证 3、已经通过CQC 教室优质照明光环境认证,教室护眼照明灯具,1/1/2020 00:00:00,3/6/2024 21:02:42
-1681915904,企业能源消耗运行监控,通过采用“互联网+”的前沿成果，应用信息网络技术和大数据等先进手段，安泰股份率先在国内开展覆盖企业、园区、城市级生产制造全过程控制的“互联网+智慧能源”企业能效管理云平台的建设，以推动制造业数字化、网络化、智能化发展为主线，搭建能耗实时监测采集网络、智慧能源管理平台与绿色制造服务平台，通过采集存储企业产品全生命周期的生产工序实时能耗和工况数据，利用现场实时数据服务器的部署与云端工业数据库、能效分析模型的结合，实现工业企业智慧能源管理、预测分析、优化调度和考核管理功能，达到工厂级、园区级、城市级的耗能设备的实时数据采集、监测、管理，助力工业企业在大数据环境下实现数字制造、智能制造、绿色制造.,企业能效管理云平台,1/1/2020 00:00:00,3/6/2024 21:02:42
-1673527296,浅层地热能源利用,"1、利用可再生能源 
主要能量（约 75%）取自浅层地下，是间接使用太阳能。 
2、初始投资少 
系统初始投资比同样满足供暖、制冷和生活热水要求的其他系统组合低 20%-30%。 
3、运行费用低 
系统采暖用电比电锅炉省 50%以上，制冷用电比分体空调省 20-30%。 
4、分房间控制 
系统能实现每个房间的单独按需控制或差异式供暖（冷），充分利用行为节能降低运行费用。 
5、高温制冷、低温制热具有独特优势：因为地下水温度相对恒定，表现为冬暖夏凉，所以地能热宝的工作不受室外环境的影响，尤其能在极低温度（比如零下20-30℃）环境下实现制热，在高温环境下实现制冷。",地能热宝,1/1/2020 00:00:00,3/6/2024 21:02:42
-1635778560,适用电机驱动的工业类系统、照明系统的节电运行,"1、自动跟踪和运算精确电力系统的变化，随时优化电力系统的运行。
2、抑制谐波，缓解公共电网对终端负载的冲击，降低设备运行噪音，延长设备的使用寿命。
3、吸收杂乱波形，经过整流逆变重新反馈给电网，提高节电率。
4、系统增加过流、过热、欠压、短路等保护功能，使系统的运转率和安全可靠性大大提高。
5、可以按应用行业的特殊要求，增添其他辅助功能
6、综合一体机代替配电柜、软起动、变频器同时具备可视化、可储存、可远传功能。",智能节电多功能一体机,1/1/2020 00:00:00,3/6/2024 21:02:42
-1602224128,适用于热储能系统,"（1）多功能熔盐罐基础防沉降技术，确保各工况下载荷的技术安全；
（2）大型储罐的保温技术以及基础余热散热技术；
（3）大型储罐介质匀速加热技术；
（4）高温熔盐对设备材料的腐蚀与防腐蚀技术；
（5）系统的安全隔离技术与快速响应技术；
（6）系统原料带来的NOx消除技术。",高温大容量光热发电熔盐蓄热储能装置,1/1/2020 00:00:00,3/6/2024 21:02:42
-1593835520,适用于工业园区污水以及市政污水处理,"（1）节能降耗：微氧曝气及精确控制系统使得氧利用率较传统曝气提高40%以上，节能降耗显著。
（2）节省占地：高污泥浓度条件运行，提高了容积负荷及容积利用率，同时整个工艺包括二沉池采用一体化结构，通过穿孔墙和空气提推实现污水重力流，较管道连接节省占地达40%以上。
（3）一体化结构灵活多变：通过功能分区、空间耦合形成了一体化结构，根据出水标准要求，可在内部增设多种功能单元，灵活多变，适用于工业废水、工业园区废水、市政污水及城镇污水等多种领域，出水可达到一级A，乃至地表准IV类等要求。
（4）操作运行维护简便：双气路曝气控制实现不停车清洗及更换，维护简单；系统自动化精确控制，高效稳定，节能降耗。",微氧低耗一体化污水生化处理工艺,1/1/2020 00:00:00,3/6/2024 21:02:42
-1543503872,适用于新建和改造建筑。,"该板利用无机材料的防火性和有机材料的保温隔热性，将二者均匀结合，改变的传统聚苯板的热塑性质为热固性质，燃烧性能达到A2级。遇火燃不燃、无烟、不滴落、无火焰传播蔓延，解决了传统聚苯板薄抹灰工程施工交叉作业因管理不善导致的保温材料火灾的问题。
相比传统的纯无机类保温材料如发泡水泥、泡沫玻璃、玻化微珠保温砂浆等A级保温材料，该产品具有更低的导热系数、更低容重，便于施工应用；相比纤维类A级保温材料，如岩棉、玻璃棉板，有机硅改性防火保温板吸水率低、导热系数稳定、施工过程工人易操作，没有岩棉纤维易对工人造成的过敏等危害。",无机改性A级防火保温板,1/1/2020 00:00:00,3/6/2024 21:02:42
-1530920960,适用于民用建筑的门窗。,"（1）木塑铝复合型材是以木塑型材和铝合金型材为主要原材料，分别设有梯形凸台和开口槽，经机械辊压复合而成，咬合精确、牢固。
（2）木塑型材以木材边角料和合成树脂为主要原料，经粉碎混合后添加少量助剂，由挤出机高温挤出成型。表面密度大，具有耐腐蚀、防虫蛀、防水、不含甲醛、可100%回收利用等特点，可消耗大量的木材边角料，节能减排。
（3）铝合金型材是以采用熔铸工艺生产的铝合金材料为原材料，分为普通型材和隔热型材，具有强度高、耐候性能好等特点。
（4）两者的线膨胀系数接近，解决了热胀冷缩产生的缝隙问题，同时这也是我公司的核心技术。且均为空腔结构，提高了型材的保温性能。",木塑铝复合门窗型材,1/1/2020 00:00:00,3/6/2024 21:02:42
-1459617792,城市水网水质监测、污染源在线监测及环境监测网构建。,无,高集成多光谱在线水质分析仪,1/1/2020 00:00:00,3/6/2024 21:02:42
-1455423488,危险废物处置,针对危险废物焚烧系统设备运转率低、能耗高和处置产能低等行业共性问题进行技术改进，能够实现焚烧处置过程节能提产目的。,高效危险废物焚烧技术,1/1/2020 00:00:00,3/6/2024 21:02:42
-1434451968,适用于空压机群控制,"1）空压站专用数据采集设备是利用物联网技术，搭建传感器网络，利用嵌入式系统技术，实时采集空压站相关设备运行信息、工艺参数，并与互联网结合，是智慧能源空压站的数据基础，为“两化融合”提供底层支持。 
2）智慧共享型空压设备是集成了传感器及智能控制系统的智能化装备，融合了先进制造技术、信息技术和智能控制技术，在空压机领域重点关注空压机运行效率，最大化提高气电比。 
3）智能化数据监控平台围绕空压机的“接、管、算、用、维”全生命周期，提供流式实时数据和结构化数据的接入、 集成、处理相关云服务，实现大数据的快速汇集、综合管理、高效计算、动态关联。",基于云平台的空压站节能管控系统,1/1/2020 00:00:00,3/6/2024 21:02:42
-1430257664,“全透水结构”铺装适用于人行道、景观硬地、广场等；“半透水结构”铺装适用于轻型载荷道路。,具有良好的透水滤水性、强度高、施工周期短的特点。,现制砂基透水路面技术,1/1/2020 00:00:00,3/6/2024 21:02:42
-1417674752,"（1）运营商数据中心及相关机房
（2）金融：银行、保险、证券、基金、投资、信托等行业的总部数据中心、灾备中心；地区性数据中心；各分行、支行、营业网点等
（3）政府：政务中心，智慧城市等数据中心建设",采用环保制冷剂，行业发展趋势，具备更高的换热系数；贴近热源制冷，实时监控热负载变化，快速调整制冷输出，适配负载需求；采用全变频技术，根据实际负荷需求变化，变频压缩机、电子膨胀阀、风机等部件运行状态自动调节，使机组随时处于最佳节能运行状态；相比于定频列间空调，直流变频列间空调全年能耗节约率达到了30.0%，绿色节能效果显著；特别适用于高密热流环境的温、湿度控制方式，高精度控制模式；灵活多样的送、回风，温、湿度控制；针对局部热点和高散热量IT设备的气流组织优化研究，冷热通道封闭技术。,高密散热直流变频机房空调,1/1/2020 00:00:00,3/6/2024 21:02:42
-1409286144,民用热水锅炉。,无,基于新型换热结构的一体式低氮燃烧冷凝技术,1/1/2020 00:00:00,3/6/2024 21:02:42
-1392508928,餐厨和园林废弃物、粪便、屠宰场、食品加工厂等富含生物质的废弃物处理,污泥水热碳化技术将高压化学理论应用到市政污泥的处理处置中来，通过温度、压力和酸碱度的调节，改变污泥的物理和化学性状。污泥水热碳化技术极大的改变了污泥的脱水性能，利用机械手段就可以将污泥含水率降低到30%以下。这是对市政污泥脱水技术的一大创新。2016年11月23日，杭世珺、杨向平、唐建国等国内知名专家组织召开污泥水热碳化创新技术及设备国产化实践专家评议会，评审结论为“该技术采用连续流方式，具有流程短、占地少、能耗较低、效率高、卫生化程度高等特点，可替代化学调理和热干化处理，经后续脱水后最终产物可以作为燃料再利用，在我国具有一定推广意义”。,污泥水热碳化处理技术,1/1/2020 00:00:00,3/6/2024 21:02:42
-1371537408,适用于采用太阳能采暖及供应热水,"1、太阳能跨季节蓄热采暖可实现长时间蓄热，并可以运输，满足十几公里范围内的采暖需求。
2、大规模太阳能采暖系统要比个体家庭太阳能热利用装置效率高4-6倍，对于城镇和区域供热有巨大优势。
3、规模化生产，定制化产品，同时太阳能供热和其他能源可以高效互补，利用热能萃取技术可提升大量能源利用率。
4、太阳能热利用是一项公知的技术，经过了几十年来的实验和验证，同时具备国内外运行良好的众多案例支撑。",太阳能跨季节储热采暖技术,1/1/2020 00:00:00,3/6/2024 21:02:42
-1363148800,制样室除尘,"(1)以控代抽的粉尘处理方法,是运用在制样设备内部产生负压的方法控制尘源的一种处理模式,从根本上解决粉尘外泄问题。
(2)空间尘源控制装置内部有沉降箱和二次过滤,可将细颗粒粉尘进行沉降和过滤,达到尘源有效控制目的。
(3)采用模拟量控制风路系统自动调节风量大小,实现智能控制,实时监控各尘源控制点风量。",制样室智能除尘装置,1/1/2020 00:00:00,3/6/2024 21:02:42
-1329594368,适用于监控中心、会议室、展示中心等场合大屏显示,"产品特点如下：
（1） 新一代主发光LED显示技术，具有无缝拼接、高清、高对比度、宽视角、高刷新高、高效节能、使用寿命长等优势；
（2） 完美的箱体外观设计，具有超轻、超薄、节约空间等；
（3） 散热好、超静音设计，适合室内应用；
（4） 智能化亮度调节，自动适配环境；
（5） 具有单点亮度和色度校正技术；
（6） 广播级的灰度处理、高色域覆盖率；
（7） 纳秒级响应时间；
（8） 易维护，后期维护成本更低。",智能高清LED电视墙显示单元,1/1/2020 00:00:00,3/6/2024 21:02:42
-1308622848,照明控制,无,基于无线传感网的智慧照明系统,1/1/2020 00:00:00,3/6/2024 21:02:42
-1287651328,数据中心制冷空调系统,"1、系统关键服务器、控制器、开关电源、网络具有双设备冗余热备功能；
2、本节能技术不受数据中心制冷系统所在地域、运行季节、运行工况的限制，都可产生相应节电效果； 
3、本节能技术不以牺牲数据中心制冷系统安全可靠性为代价获得节能效果；
4、本节能技术内置数据中心制冷系统安全保障功能，可大幅提供其运行安全可靠性。",数据中心垂直制冷能效控制系统,1/1/2020 00:00:00,3/6/2024 21:02:42
-1262485504,垃圾处理。,无,连续式超临界热裂解多目标处理系统,1/1/2020 00:00:00,3/6/2024 21:02:42
-1233125376,适用于没有市政污水管网地区的小规模分散式生活污水处理,"1.水质优良：抗冲击负荷强，出水稳定。
2.高度集成：复合罐体设计，水力流态好，不堵塞。
3.操作方便：动力设备少，操作简单，免维护。
4.经济性好：运行能耗低，就地处理就地排放。
5.传氧效率高，气泵能耗低
6.容易控制反应器内溶解氧含量
7.污泥不流失，出水浊度低",水魔方湿地生态净化罐,1/1/2020 00:00:00,3/6/2024 21:02:42
-1178599424,工业余热利用。,"回收利用余热：提高能源利用效率，节能减排效果突出；
清洁环保：以溴化锂作吸收剂、水作制冷剂，无毒、无嗅、无氟，对大气环境无污染；
操作简单：智能化全自动控制，可远程操作管理；
适应性强：机组可在开机后迅速启动，具有良好的负荷调节能力，可在10%~120%间连续稳定运行，能自动适应供热负荷变化而调整无需人为干预。",蒸汽型吸收式热泵,1/1/2020 00:00:00,3/6/2024 21:02:42
-1166016512,大型风力发电机组,"叶片是将风能转化为动能的重要部件,在运行过程中受到风载、重力以及冰雪等多种复杂工况,要求叶片材料强度高、刚度大且重量轻。使用天然毛竹作为主要原材料,运用自主知识产权的竹层积材技术,经过系统化的质量控制解决竹材离散性问题。通过与防水性强的环氧树脂复合,并在叶片产品中使用环氧玻璃钢覆盖于竹材表面,保障内部竹材不与外部空气接触,解决竹材耐候性问题。采用标准化竹条斜接设计和竹条铺放、树脂真空关注的方法,解决竹叶片结构设计和制造工艺上的困难,使竹叶片生产效率高,材料浪费率低。",大型风力发电机竹质叶片,1/1/2020 00:00:00,3/6/2024 21:02:42
-1115684864,适用于输送能力低和水力失调的二次管网系统,无,调节型水喷射泵,1/1/2020 00:00:00,3/6/2024 21:02:42
-985661440,超低能耗建筑等高保温节能要求的建筑。,被动式门窗是指将自然通风、自然采光、太阳能辐射和室内非供暖热源得热等各种被动式节能手段与建筑围护结构高效节能技术相结合建造而成的低能耗房屋建筑。这种建筑在显著提高室内环境舒适性的同时，可大幅度减少建筑使用能耗，最大限度地降低对主动式机械采暖和制冷系统的依赖。,铝包木复合被动式门窗,1/1/2020 00:00:00,3/6/2024 21:02:42
-977272832,建筑垃圾处理,"建筑垃圾的再生利用,不仅可以缓解其对环境带来的压力,还能达到资源循环利用的目的.利用建筑废弃物作为材料制作的透水砖既能满足强度标准,又能保证透水性能。",再生骨料透水砖,1/1/2020 00:00:00,3/6/2024 21:02:42
-897581056,农宅等无集中供暖情况下的供暖,"1、环保  充分利用太阳能等自然能源为热源，没有废气废热排放，节能效果非常显著。
2、节能  每消耗1度电就能从低温热源中吸收4～7度电的热量，全年节能80%。
3、运行费用低 低成本运行，运行费用与煤相当。
4、安全  系统无电辅助加热，无安全隐患。
5、智能  本系统采用智能控制，自动调整循环主机的启停。
6、全天侯使用  全年全天候24小时供热。
7、能量来源广  在有太阳的时候能100%吸收太阳能，在没有太阳的时候也吸收风能、雨水能等热量，保证高效吸热。
8、使用方便  系统自动进水、自动供水，无需专人职守。
9、应用广泛  广泛应用热水、采暖、制冷、烘干等领域。",太阳能和空气源热能协调应用系统,1/1/2020 00:00:00,3/6/2024 21:02:42
-876609536,生物制药行业，城市供水系统等,"（一）驱动方式创新，维护成本降低
ZD发酵罐专用智能电机采取直驱驱动方式，因结构简单，电机维护成本和故障率更低。
（二）节能效率高
与原电机及系统相比，ZD发酵罐智能电机专用控制系统节能效果显著，节能率25%±5%。
（三）降噪、降温效果明显
   ZD发酵罐智能电机专用控制系统，从源头降噪、降温，引领行业“安静发酵”。与原有工况相比，噪音分贝下降到50分贝，极大改善了车间生产环境。",发酵罐智能电机专用控制系统,1/1/2020 00:00:00,3/6/2024 21:02:42
-859832320,建筑空调系统,无,中央空调能源管理系统集成技术,1/1/2020 00:00:00,3/6/2024 21:02:42
-855638016,余热利用,烟气深度净化及余热回收一体化技术开创性的利用一套系统解决环保和节能两大问题。“功能二合一”，降低初投资，实现净收益，既保证环保项目零排放，又回收烟气中的汽化潜热，用于加热工艺水（除盐水或供暖水），从而变“纯消耗的环保项目”为“具有净收益的环保+节能项目”，在保证烟气SO2、PM2.5超低排放的同时，通过回收烟气余热产生60～90℃的工艺热水，平均可提高燃煤锅炉热效率6～8%，提高燃气锅炉热效率8～13%。通过节能收入3~5年内覆盖项目初投资。,烟气深度净化脱白及余热回收一体化技术,1/1/2020 00:00:00,3/6/2024 21:02:42
-838860800,供热工程,"利用4G通信技术把数据上传到云平台,具有覆盖广、连接多、成本低、功耗小、架构优等特点。
智慧测量平衡阀采用新型阀腔及阀板结构,根据水力模型计算出流经阀门的流量。",供热管网综合节能技术,1/1/2020 00:00:00,3/6/2024 21:02:42
-834666496,建筑供暖系统。,无,太阳能供暖装置,1/1/2020 00:00:00,3/6/2024 21:02:42
-817889280,适用于中小功率电动机系统,无,磁悬浮离心鼓风机,1/1/2020 00:00:00,3/6/2024 21:02:42
-801112064,公共建筑。,无,一种太阳能跨季节蓄热和地源热泵系统,1/1/2020 00:00:00,3/6/2024 21:02:42
-767557632,工业冷却水系统,1.本技术中包含了模块化能效控制柜，控制柜内部的系统核心部件为公司自主研发，由瑞士生产商制造；各电路元器件采用伟肯、丹弗斯、三菱、施耐德、西门子、欧姆龙、菲尼克斯等国际一线品牌产品，以保证其使用寿命的长久性；柜内安装的铝镁合金材质的安全防磁罩，解决带电操作安全问题和强弱电带来的电磁干扰；防爆门锁装置不仅方便操作，而且增强了柜门防爆能力。多重保护下，保障了使用的安全性，强弱电一体的设计，既可以合理利用柜内空间，节约成本，还能方便后期维护。 2.自主研发循环水安全运行检测技术，失压时能够自动报警、启用备用水泵，解决因异常失压导致生产中断的问题。同时，优化防误操作验证启停技术，为安全生产提供保障。,基于富余扬程回收的工业冷却水系统综合节能技术,1/1/2020 00:00:00,3/6/2024 21:02:42
-763363328,技术原理,技术原理,测试案例,1/1/2020 00:00:00,3/6/2024 21:02:42
-734003200,燃气电厂、燃气锅炉房、燃煤电厂、燃煤锅炉房、区域锅炉房,无,低压驱动型吸收式热泵,1/1/2020 00:00:00,3/6/2024 21:02:42
-725614592,用于展览展示、景观布景、纸家具。,无,瓦楞纸家具,1/1/2020 00:00:00,3/6/2024 21:02:42
-721420288,公共建筑空调系统。,无,中央空调冷却系统,1/1/2020 00:00:00,3/6/2024 21:02:42
-713031680,适用于公共建筑风机盘管空调系统,"无线接入：ZigBee无线通信，WEB/APP（含微信小程序）远程管理；
温度调节：根据设定温度自动控制空调的运行；
室温显示：实时监测并显示室内温度；
面板禁用：禁用后只能通过WEB/APP远程操作；
定时开关：可提供多个开关定时点；
温限管理：设置制冷最高温度或采暖最高温度；
能耗统计：计量并存贮中央空调（房间）的实时及累计能耗量；
故障诊断：包括故障报警、异常应用等；
无线升级：固件或最新程序无线升级。",云温控器,1/1/2020 00:00:00,3/6/2024 21:02:42
-692060160,适用于电力系统的低压配电变压器。,无,立体卷铁心电力变压器,1/1/2020 00:00:00,3/6/2024 21:02:42
-683671552,燃气轮机,无,燃气轮机高效空气进气过滤系统,1/1/2020 00:00:00,3/6/2024 21:02:42
-637534208,公共建筑空调系统。,无,中央空调冷却系统,1/1/2020 00:00:00,3/6/2024 21:02:42
-620756992,裸露地面扬尘抑制，城市屋顶绿化。公路铁路边坡覆盖,加厚型植被毯的优势在于在短时间内对路基边坡形成有效防护，草籽发芽快，出芽率高，绿色植物在短时间内生长成型后，植物根系的固土作用抑制坡面破坏和水土流失，绿化与防护结为一体。另一个特点就是加厚植被毯在铺设完成后，把裸露的山体完全覆盖住，在植物长成前就起到了压尘、治尘的作用。,带营养土的植被毯,1/1/2020 00:00:00,3/6/2024 21:02:42
-603979776,建筑空调系统,无,中央空调节能集成优化管理控制系统,1/1/2020 00:00:00,3/6/2024 21:02:42
-583008256,电力和工业领域,无,基于增汽机技术的热力系统综合优化技术,1/1/2020 00:00:00,3/6/2024 21:02:42
-494927872,产业园区、大型公建、数据中心等。,"1.应用空气动力学优化设计的高效两级离心技术，使压缩机所能承受压比范围广，稳定运行范围更广。
2.使用与磁悬浮变频压缩机为黄金搭档的满液式换热器
3.内置变频启动，不需要增加启动柜，节省费用和空间。
4.永磁同步直流电机：转速随负荷变化自动调节，在满负荷及部分负荷时均能高效运行。
5.软启动功能：降低机组启动电流至2A，减少对电网冲击，同时减少电机定子上的热应力。
6.磁悬浮轴承：磁悬浮压缩机没有增速齿轮，无传动损失。
7.机组突然断电时，高速旋转的压缩机电机逆变为发动机，为线圈提供电流以产生磁力，承托轴承直到其停止并轻落在陶瓷轴托上，确保压缩机和机组安全可靠
8.无油运行，降低运行维护费用",水冷磁悬浮变频离心式冷水机组,1/1/2020 00:00:00,3/6/2024 21:02:42
-490733568,有机垃圾处理,无,有机垃圾就地资源化处理与利用装备,1/1/2020 00:00:00,3/6/2024 21:02:42
-381681664,冷热电三联供技术应用场所,以天然气分布式能源为基础，打造智慧能源管控体系，实现多种能源有机耦合，体现“节能、低碳、智慧、安全、经济”的理念。以三联供作为支撑，合理利用储能技术，可大幅度提高系统可再生能源使用率，同时“互联网+”技术领先应用，实现多种能源智能调度和负荷预测，打造智能化高效能效机房。,燃气冷热电三联供与地源热泵智能耦合供能系统,1/1/2020 00:00:00,3/6/2024 21:02:42
-364904448,压力0.1MPa以上的蒸汽余热发电,无,低压蒸汽透平,1/1/2020 00:00:00,3/6/2024 21:02:42
-327155712,适用于市政热网、区域热网。,该技术最主要的特点可以大大降低一网回水温度至30℃，提高一网供回水温差。30℃的一网回水进入炼油厂内，与原进空冷水与原进空冷水冷的物料进行换热，直接取缔或减少原空冷和水冷环节。,基于吸收式换热的低温余热回收利用系统,1/1/2020 00:00:00,3/6/2024 21:02:42
-289406976,煤改清洁能源分户能耗集中管控。,采用“互联网+”技术将中央空调系统冷热源集中控制和节能策略运行与云平台数据分析、存储等功能相融合，通过可视化数据界面及运行监测数据，为用户提供节能策略，规划能源系统管理。,煤改清洁能源节能监测管理系统,1/1/2020 00:00:00,3/6/2024 21:02:42
-272629760,适用于中央空调冷却水系统,"1．节电节水。以循环水的余压作为动力源， 节约电能。设计合理的塔体结构和塔顶不同形 状的冷却凝结水回收系统，可达到控制漂水和 冷却凝结水珠的双重效果。 
2．使用安全。可应用在防爆区域和特定的 工作环境，噪音小于 55dB。 
3．结构模块化。不同规格的塔体，由基本 单元排列组合而成，可拆卸和重新组装，维修 简易。 
4．通过雾化、鼓风的双重作用，实现热交 换次数多，散热面积大。 
5．塔内热水在雾化状态条件下与由进风口 进场的冷风交换热量，冷却性能高，冷效稳定。",基于水引射的喷雾冷却塔,1/1/2020 00:00:00,3/6/2024 21:02:42
-188743680,公共建筑的制冷、采暖与生活热水供应。,"1.一机多能。燃气机热泵是分散布置系统、智能化运行，一套系统可这现供暖、制冷和供热水三项功能，可以根据客户的逐时空调负荷变化的需求，自动调节空调主机的运行负载，温度、时间按用户要求随心控制。
2.低噪声。该技术产品采用了锯齿形风扇的开发，运行噪声低，可随意安装在屋顶或屋檐下。
3.减少电力投资。与空气源电热泵系统相比，GHP系统大幅度降低了电力的需求，避免了电力增容或加大变电容量等的巨额投资。
4.环境适应性强。在低温环境下，由于有发动机余热优势，制热能力衰减明显小于空气源电热泵，发挥出了燃气机热泵空系统所特有的超强供暖能力。",空气源燃气机热泵冷热水一体机组,1/1/2020 00:00:00,3/6/2024 21:02:42
-171966464,啤酒、饮料、奶制品等巴氏杀菌系统,无,基于压缩式热泵的巴氏杀菌系统余热回收技术,1/1/2020 00:00:00,3/6/2024 21:02:42
-134217728,集中供热（冷）和市政工程的保温管道。,无,抗剪切耐高温水聚氨酯复合保温管,1/1/2020 00:00:00,3/6/2024 21:02:42
-125829120,适用于建筑的屋面系统,无,热塑性聚烯烃建筑屋面保温防水系统,1/1/2020 00:00:00,3/6/2024 21:02:42
